prov,depto,fecha_min,confirmados,confirmados_14,casos_posibles,casos_posibles_14,fallecidos,fallecidos_14
2,0,2021-01-01,356,356,2593,2593,0,0
2,1,2021-01-01,26,26,98,98,0,0
2,2,2021-01-01,29,29,159,159,0,0
2,3,2021-01-01,34,34,137,137,1,1
2,4,2021-01-01,40,40,157,157,0,0
2,5,2021-01-01,42,42,214,214,0,0
2,6,2021-01-01,32,32,159,159,0,0
2,7,2021-01-01,33,33,133,133,0,0
2,8,2021-01-01,15,15,61,61,0,0
2,9,2021-01-01,26,26,117,117,0,0
2,10,2021-01-01,38,38,131,131,0,0
2,11,2021-01-01,23,23,130,130,0,0
2,12,2021-01-01,24,24,197,197,0,0
2,13,2021-01-01,61,61,308,308,0,0
2,14,2021-01-01,47,47,241,241,0,0
2,15,2021-01-01,38,38,166,166,0,0
6,0,2021-01-01,7,7,26,26,0,0
6,7,2021-01-01,11,11,19,19,0,0
6,14,2021-01-01,1,1,2,2,0,0
6,21,2021-01-01,3,3,16,16,0,0
6,28,2021-01-01,126,126,312,312,1,1
6,35,2021-01-01,80,80,246,246,0,0
6,42,2021-01-01,19,19,28,28,0,0
6,49,2021-01-01,21,21,51,51,0,0
6,56,2021-01-01,58,58,131,131,0,0
6,63,2021-01-01,24,24,42,42,0,0
6,70,2021-01-01,4,4,9,9,0,0
6,77,2021-01-01,20,20,20,20,0,0
6,84,2021-01-01,2,2,6,6,0,0
6,91,2021-01-01,37,37,99,99,0,0
6,98,2021-01-01,19,19,38,38,0,0
6,105,2021-01-01,6,6,9,9,0,0
6,112,2021-01-01,1,1,10,10,0,0
6,119,2021-01-01,4,4,12,12,0,0
6,126,2021-01-01,37,37,80,80,0,0
6,134,2021-01-01,3,3,14,14,0,0
6,140,2021-01-01,3,3,4,4,0,0
6,147,2021-01-01,7,7,11,11,0,0
6,154,2021-01-01,0,0,2,2,0,0
6,161,2021-01-01,0,0,2,2,0,0
6,168,2021-01-01,0,0,0,0,0,0
6,175,2021-01-01,11,11,17,17,0,0
6,182,2021-01-01,18,18,30,30,0,0
6,189,2021-01-01,10,10,18,18,0,0
6,196,2021-01-01,1,1,2,2,0,0
6,203,2021-01-01,14,14,36,36,0,0
6,210,2021-01-01,29,29,72,72,0,0
6,217,2021-01-01,6,6,10,10,0,0
6,224,2021-01-01,16,16,58,58,0,0
6,231,2021-01-01,11,11,24,24,0,0
6,238,2021-01-01,4,4,11,11,0,0
6,245,2021-01-01,10,10,22,22,1,1
6,252,2021-01-01,84,84,193,193,0,0
6,260,2021-01-01,76,76,198,198,0,0
6,266,2021-01-01,8,8,35,35,0,0
6,270,2021-01-01,46,46,124,124,0,0
6,274,2021-01-01,78,78,191,191,0,0
6,277,2021-01-01,2,2,5,5,0,0
6,280,2021-01-01,0,0,5,5,0,0
6,287,2021-01-01,0,0,2,2,0,0
6,294,2021-01-01,12,12,26,26,0,0
6,301,2021-01-01,2,2,3,3,0,0
6,308,2021-01-01,0,0,5,5,0,0
6,315,2021-01-01,6,6,10,10,0,0
6,322,2021-01-01,7,7,15,15,0,0
6,329,2021-01-01,0,0,5,5,0,0
6,336,2021-01-01,0,0,0,0,0,0
6,343,2021-01-01,1,1,3,3,0,0
6,351,2021-01-01,2,2,8,8,0,0
6,357,2021-01-01,195,195,361,361,0,0
6,364,2021-01-01,12,12,65,65,0,0
6,371,2021-01-01,72,72,242,242,0,0
6,385,2021-01-01,11,11,15,15,0,0
6,392,2021-01-01,1,1,5,5,0,0
6,399,2021-01-01,1,1,6,6,0,0
6,406,2021-01-01,0,0,2,2,0,0
6,408,2021-01-01,50,50,109,109,0,0
6,410,2021-01-01,75,75,165,165,0,0
6,412,2021-01-01,42,42,142,142,0,0
6,413,2021-01-01,31,31,75,75,0,0
6,420,2021-01-01,4,4,13,13,1,1
6,427,2021-01-01,243,243,600,600,0,0
6,434,2021-01-01,96,96,264,264,0,0
6,441,2021-01-01,126,126,360,360,0,0
6,448,2021-01-01,2,2,10,10,0,0
6,455,2021-01-01,0,0,5,5,0,0
6,462,2021-01-01,3,3,7,7,0,0
6,466,2021-01-01,1,1,1,1,0,0
6,469,2021-01-01,53,53,81,81,0,0
6,476,2021-01-01,18,18,26,26,0,0
6,483,2021-01-01,3,3,12,12,0,0
6,490,2021-01-01,98,98,287,287,0,0
6,497,2021-01-01,22,22,48,48,0,0
6,505,2021-01-01,2,2,5,5,0,0
6,511,2021-01-01,2,2,2,2,0,0
6,515,2021-01-01,31,31,139,139,0,0
6,518,2021-01-01,4,4,10,10,0,0
6,525,2021-01-01,12,12,27,27,0,0
